storage_path,local_path,image_source,status,source_table,source_field,source_id,source_label,db_url
packages/1783010199186-kerala-backwater.png,/images/packages/1783010199186-kerala-backwater.png,supabase-upload,downloaded,packages,image_url,kerala-backwater-honeymoon-5d4n,Kerala Backwater Honeymoon,https://fgrsjqkboltbwatfhcnm.supabase.co/storage/v1/object/public/cms-images/packages/1783010199186-kerala-backwater.png
packages/1785075180180-chatgpt-image-jul-26-2026-07-42-43-pm.png,/images/packages/1785075180180-chatgpt-image-jul-26-2026-07-42-43-pm.png,supabase-upload,downloaded,packages,image_url,kashmir-kashmir-highlights-tour-5d4n,Kashmir Highlights Tour,https://fgrsjqkboltbwatfhcnm.supabase.co/storage/v1/object/public/cms-images/packages/1785075180180-chatgpt-image-jul-26-2026-07-42-43-pm.png
packages/1785075413761-chatgpt-image-jul-26-2026-07-46-36-pm.png,/images/packages/1785075413761-chatgpt-image-jul-26-2026-07-46-36-pm.png,supabase-upload,downloaded,packages,image_url,kashmir-kashmir-family-tour-package-5d4n,Kashmir Family Tour Package,https://fgrsjqkboltbwatfhcnm.supabase.co/storage/v1/object/public/cms-images/packages/1785075413761-chatgpt-image-jul-26-2026-07-46-36-pm.png
packages/1785075526210-chatgpt-image-jul-26-2026-07-48-36-pm.png,/images/packages/1785075526210-chatgpt-image-jul-26-2026-07-48-36-pm.png,supabase-upload,downloaded,packages,image_url,kashmir-kashmir-honeymoon-package-6d5n,Kashmir Honeymoon Escape,https://fgrsjqkboltbwatfhcnm.supabase.co/storage/v1/object/public/cms-images/packages/1785075526210-chatgpt-image-jul-26-2026-07-48-36-pm.png
packages/1785069204318-chatgpt-image-jul-26-2026-06-03-12-pm.png,/images/packages/1785069204318-chatgpt-image-jul-26-2026-06-03-12-pm.png,supabase-upload,downloaded,packages,image_url,kashmir-vaishno-devi-with-kashmir-tour-6d5n,Vaishno Devi with Kashmir Tour,https://fgrsjqkboltbwatfhcnm.supabase.co/storage/v1/object/public/cms-images/packages/1785069204318-chatgpt-image-jul-26-2026-06-03-12-pm.png
packages/1785069285084-chatgpt-image-jul-26-2026-06-04-31-pm.png,/images/packages/1785069285084-chatgpt-image-jul-26-2026-06-04-31-pm.png,supabase-upload,downloaded,packages,image_url,kashmir-amritsar-jammu-kashmir-tour-7d6n,Amritsar Jammu Kashmir Tour,https://fgrsjqkboltbwatfhcnm.supabase.co/storage/v1/object/public/cms-images/packages/1785069285084-chatgpt-image-jul-26-2026-06-04-31-pm.png
packages/1785075680457-chatgpt-image-jul-26-2026-07-51-03-pm.png,/images/packages/1785075680457-chatgpt-image-jul-26-2026-07-51-03-pm.png,supabase-upload,downloaded,packages,image_url,kashmir-premium-kashmir-honeymoon-with-vaishno-devi-9d8n,Premium Kashmir Romance &amp; Vaishno Devi Retreat,https://fgrsjqkboltbwatfhcnm.supabase.co/storage/v1/object/public/cms-images/packages/1785075680457-chatgpt-image-jul-26-2026-07-51-03-pm.png
packages/1785165841222-chatgpt-image-jul-27-2026-08-53-02-pm.png,/images/packages/1785165841222-chatgpt-image-jul-27-2026-08-53-02-pm.png,supabase-upload,downloaded,packages,image_url,tamil-nadu-chennai-mahabalipuram-pondicherry-coastal-escape-4d3n,Chennai – Mahabalipuram – Pondicherry Coastal Escape,https://fgrsjqkboltbwatfhcnm.supabase.co/storage/v1/object/public/cms-images/packages/1785165841222-chatgpt-image-jul-27-2026-08-53-02-pm.png
packages/1785166094433-chatgpt-image-jul-27-2026-08-58-01-pm.png,/images/packages/1785166094433-chatgpt-image-jul-27-2026-08-58-01-pm.png,supabase-upload,downloaded,packages,image_url,tamil-nadu-madurai-rameswaram-kanyakumari-pilgrimage-tour-5d4n,Madurai – Rameswaram – Kanyakumari Pilgrimage Tour,https://fgrsjqkboltbwatfhcnm.supabase.co/storage/v1/object/public/cms-images/packages/1785166094433-chatgpt-image-jul-27-2026-08-58-01-pm.png
packages/1783014303395-ooty-coonoor-madurai-heritage-escape.png,/images/packages/1783014303395-ooty-coonoor-madurai-heritage-escape.png,supabase-upload,downloaded,packages,image_url,tamil-nadu-ooty-coonoor-madurai-heritage-escape-6d5n,Ooty – Coonoor – Madurai Heritage Escape,https://fgrsjqkboltbwatfhcnm.supabase.co/storage/v1/object/public/cms-images/packages/1783014303395-ooty-coonoor-madurai-heritage-escape.png
packages/1783014612498-chennai-kanchipuram-mahabalipuram-heritage-tour.png,/images/packages/1783014612498-chennai-kanchipuram-mahabalipuram-heritage-tour.png,supabase-upload,downloaded,packages,image_url,tamil-nadu-chennai-kanchipuram-mahabalipuram-heritage-tour-4d3n,Chennai – Kanchipuram – Mahabalipuram Heritage Tour,https://fgrsjqkboltbwatfhcnm.supabase.co/storage/v1/object/public/cms-images/packages/1783014612498-chennai-kanchipuram-mahabalipuram-heritage-tour.png
packages/1783014809244-ooty-madurai-family-getaway.png,/images/packages/1783014809244-ooty-madurai-family-getaway.png,supabase-upload,downloaded,packages,image_url,tamil-nadu-ooty-madurai-family-getaway-5d4n,Ooty – Madurai Family Getaway,https://fgrsjqkboltbwatfhcnm.supabase.co/storage/v1/object/public/cms-images/packages/1783014809244-ooty-madurai-family-getaway.png
packages/1783015869423-complete-tamil-nadu-grand-tour.png,/images/packages/1783015869423-complete-tamil-nadu-grand-tour.png,supabase-upload,downloaded,packages,image_url,tamil-nadu-complete-tamil-nadu-grand-tour-7d6n,Complete Tamil Nadu Grand Tour,https://fgrsjqkboltbwatfhcnm.supabase.co/storage/v1/object/public/cms-images/packages/1783015869423-complete-tamil-nadu-grand-tour.png
packages/1783016518060-munnar-tea-hills-escape.png,/images/packages/1783016518060-munnar-tea-hills-escape.png,supabase-upload,downloaded,packages,image_url,kerala-munnar-tea-hills-escape-4d3n,Munnar Tea Hills Escape,https://fgrsjqkboltbwatfhcnm.supabase.co/storage/v1/object/public/cms-images/packages/1783016518060-munnar-tea-hills-escape.png
packages/1783234856838-munnar-thekkady-alleppey-honeymoon-tour.png,/images/packages/1783234856838-munnar-thekkady-alleppey-honeymoon-tour.png,supabase-upload,downloaded,packages,image_url,kerala-munnar-thekkady-alleppey-honeymoon-tour-5d4n,Kerala Romantic Escape,https://fgrsjqkboltbwatfhcnm.supabase.co/storage/v1/object/public/cms-images/packages/1783234856838-munnar-thekkady-alleppey-honeymoon-tour.png
packages/1783235048343-kerala-family-holiday.png,/images/packages/1783235048343-kerala-family-holiday.png,supabase-upload,downloaded,packages,image_url,kerala-kerala-family-holiday-6d5n,‍‍‍ Kerala Family Holiday,https://fgrsjqkboltbwatfhcnm.supabase.co/storage/v1/object/public/cms-images/packages/1783235048343-kerala-family-holiday.png
packages/1783235322051-kerala-backwaters-beaches-tour.png,/images/packages/1783235322051-kerala-backwaters-beaches-tour.png,supabase-upload,downloaded,packages,image_url,kerala-kerala-backwaters-beaches-tour-6d5n,Kerala Backwaters &amp; Beaches Tour,https://fgrsjqkboltbwatfhcnm.supabase.co/storage/v1/object/public/cms-images/packages/1783235322051-kerala-backwaters-beaches-tour.png
packages/1783235505397-wayanad-nature-adventure-tour.png,/images/packages/1783235505397-wayanad-nature-adventure-tour.png,supabase-upload,downloaded,packages,image_url,kerala-wayanad-nature-adventure-tour-6d5n,Wayanad Nature &amp; Adventure Tour,https://fgrsjqkboltbwatfhcnm.supabase.co/storage/v1/object/public/cms-images/packages/1783235505397-wayanad-nature-adventure-tour.png
